Model,FPR,TPR,AUC
Best Model (Stacking),0.004975719855003078,0.07853881278538813,0.8396951170190871
Best Model (Stacking),0.005009917242322686,0.07853881278538813,0.8396951170190871
Best Model (Stacking),0.005009917242322686,0.0789041095890411,0.8396951170190871
Best Model (Stacking),0.0050441146296422955,0.0789041095890411,0.8396951170190871
Best Model (Stacking),0.0050441146296422955,0.07926940639269406,0.8396951170190871
Best Model (Stacking),0.0050612133233021,0.07926940639269406,0.8396951170190871
Best Model (Stacking),0.0050612133233021,0.07945205479452055,0.8396951170190871
Best Model (Stacking),0.005078312016961904,0.07945205479452055,0.8396951170190871
Best Model (Stacking),0.005078312016961904,0.07981735159817352,0.8396951170190871
Best Model (Stacking),0.005129608097941317,0.07981735159817352,0.8396951170190871
Best Model (Stacking),0.005129608097941317,0.08,0.8396951170190871
Best Model (Stacking),0.0051467067916011215,0.08,0.8396951170190871
Best Model (Stacking),0.0051467067916011215,0.08018264840182648,0.8396951170190871
Best Model (Stacking),0.005163805485260926,0.08018264840182648,0.8396951170190871
Best Model (Stacking),0.005163805485260926,0.08036529680365297,0.8396951170190871
Best Model (Stacking),0.005198002872580535,0.08036529680365297,0.8396951170190871
Best Model (Stacking),0.005198002872580535,0.08054794520547945,0.8396951170190871
Best Model (Stacking),0.005215101566240339,0.08054794520547945,0.8396951170190871
Best Model (Stacking),0.005215101566240339,0.08091324200913241,0.8396951170190871
Best Model (Stacking),0.005232200259900143,0.08091324200913241,0.8396951170190871
Best Model (Stacking),0.005232200259900143,0.08109589041095891,0.8396951170190871
Best Model (Stacking),0.005249298953559948,0.08109589041095891,0.8396951170190871
Best Model (Stacking),0.005249298953559948,0.08127853881278539,0.8396951170190871
Best Model (Stacking),0.005283496340879557,0.08127853881278539,0.8396951170190871
